event_date,f1name,f2name,f1result,f2result,method,method_d,round,time
11/15/08,Aaron Riley,Jorge Gurgel,win,loss,Decision,Unanimous,3,5:00
8/8/09,Aaron Riley,Shane Nelson,win,loss,Decision,Unanimous,3,5:00
5/29/10,Aaron Riley,Joe Brammer,win,loss,Decision,Unanimous,3,5:00
11/12/11,Aaron Rosa,Matt Lucas,win,loss,Decision,Majority,3,5:00
4/1/09,Aaron Simpson,Tim McKenzie,win,loss,TKO,Punches,1,1:40
8/29/09,Aaron Simpson,Ed Herman,win,loss,TKO,Knee Injury,2,0:17
1/11/10,Aaron Simpson,Tom Lawlor,win,loss,Decision,Split,3,5:00
3/26/11,Aaron Simpson,Mario Miranda,win,loss,Decision,Unanimous,3,5:00
7/2/11,Aaron Simpson,Brad Tavares,win,loss,Decision,Unanimous,3,5:00
10/8/11,Aaron Simpson,Eric Schafer,win,loss,Decision,Unanimous,3,5:00
7/11/12,Aaron Simpson,Kenny Robertson,win,loss,Decision,Unanimous,3,5:00
12/8/12,Abel Trujillo,Marcus LeVesseur,win,loss,TKO,Knees to the Body,2,3:56
12/14/13,Abel Trujillo,Roger Bowling,win,loss,TKO,Punches,2,1:35
2/1/14,Abel Trujillo,Jamie Varner,win,loss,KO,Punch,2,2:32
1/2/16,Abel Trujillo,Tony Sims,win,loss,Submission,Guillotine Choke,1,3:18
4/6/13,Adlan Amagov,Chris Spang,win,loss,Decision,Unanimous,3,5:00
10/19/13,Adlan Amagov,T.J. Waldburger,win,loss,KO,Punches,1,3:00
11/9/13,Adriano Martins,Daron Cruickshank,win,loss,Submission,Straight Armbar,2,2:49
7/6/14,Adriano Martins,Juan Manuel Puig,win,loss,KO,Punch,1,2:21
2/22/15,Adriano Martins,Rustam Khabilov,win,loss,Decision,Split,3,5:00
10/3/15,Adriano Martins,Islam Makhachev,win,loss,TKO,Punch,1,1:46
12/12/14,Aisling Daly,Alex Chambers,win,loss,Submission,Armbar,1,4:53
10/24/15,Aisling Daly,Ericka Almeida,win,loss,Decision,Unanimous,3,5:00
11/22/14,Akbarh Arreola,Yves Edwards,win,loss,Submission,Armbar,1,1:52
11/17/07,Akihiro Gono,Tamdan McCrory,win,loss,Submission,Armbar,2,3:19
9/29/12,Akira Corassani,Andy Ogle,win,loss,Decision,Split,3,5:00
4/6/13,Akira Corassani,Robbie Peralta,win,loss,Decision,Unanimous,3,5:00
11/30/13,Akira Corassani,Maximo Blanco,win,loss,DQ,Knee to Head of Grounded Fighter,1,0:25
8/31/13,Al Iaquinta,Ryan Couture,win,loss,Decision,Unanimous,3,5:00
10/26/13,Al Iaquinta,Piotr Hallmann,win,loss,Decision,Unanimous,3,5:00
2/1/14,Al Iaquinta,Kevin Lee,win,loss,Decision,Unanimous,3,5:00
9/5/14,Al Iaquinta,Rodrigo Damm,win,loss,TKO,Punches and Elbows,3,2:26
11/7/14,Al Iaquinta,Ross Pearson,win,loss,TKO,Punches,2,1:39
1/31/15,Al Iaquinta,Joe Lauzon,win,loss,TKO,Punches,2,3:34
4/4/15,Al Iaquinta,Jorge Masvidal,win,loss,Decision,Split,3,5:00
12/13/06,Alan Belcher,Jorge Santiago,win,loss,KO,Head Kick,3,2:45
5/26/07,Alan Belcher,Sean Salmon,win,loss,Submission,Guillotine Choke,1,0:53
10/20/07,Alan Belcher,Kalib Starnes,win,loss,TKO,Doctor Stoppage,2,1:39
9/17/08,Alan Belcher,Ed Herman,win,loss,Decision,Split,3,5:00
1/17/09,Alan Belcher,Denis Kang,win,loss,Submission,Guillotine Choke,2,4:36
12/12/09,Alan Belcher,Wilson Gouveia,win,loss,TKO,Punches,1,3:03
5/8/10,Alan Belcher,Patrick Cote,win,loss,Submission,Rear-Naked Choke,2,3:25
9/17/11,Alan Belcher,Jason MacDonald,win,loss,Submission,Punches,1,3:48
5/5/12,Alan Belcher,Rousimar Palhares,win,loss,TKO,Punches and Elbows,1,4:18
8/16/14,Alan Jouban,Seth Baczynski,win,loss,KO,Punch,1,4:23
2/28/15,Alan Jouban,Richard Walsh,win,loss,KO,Elbow and Punch,1,2:19
7/15/15,Alan Jouban,Matt Dwyer,win,loss,Decision,Unanimous,3,5:00
10/9/13,Alan Patrick Silva Alves,Garett Whiteley,win,loss,TKO,Punches,1,3:54
2/1/14,Alan Patrick Silva Alves,John Makdessi,win,loss,Decision,Unanimous,3,5:00
5/10/14,Albert Tumenov,Anthony Lapsley,win,loss,KO,Punch,1,3:56
10/4/14,Albert Tumenov,Matt Dwyer,win,loss,KO,Head Kick and Punches,1,1:03
1/24/15,Albert Tumenov,Nicholas Musoke,win,loss,Decision,Unanimous,3,5:00
10/3/15,Albert Tumenov,Alan Jouban,win,loss,TKO,Head Kick and Punches,1,2:55
1/2/16,Albert Tumenov,Lorenz Larkin,win,loss,Decision,Split,3,5:00
8/23/14,Alberto Mina,Shinsho Anzai,win,loss,TKO,Punches,1,4:17
11/28/15,Alberto Mina,Yoshihiro Akiyama,win,loss,Decision,Split,3,5:00
11/15/14,Alejandro Perez,Jose Alberto Quinonez,win,loss,Decision,Unanimous,3,5:00
11/21/15,Alejandro Perez,Scott Jorgensen,win,loss,TKO,Leg Injury,2,4:26
4/11/15,Aleksandra Albu,Izabela Badurek,win,loss,Submission,Guillotine Choke,2,3:34
10/7/05,Alessio Sakara,Ron Faircloth,NC,NC,No,Contest (Sakara Kicked in Groin,2,0:10
2/4/06,Alessio Sakara,Elvis Sinosic,win,loss,Decision,Unanimous,3,5:00
4/21/07,Alessio Sakara,Victor Valimaki,win,loss,TKO,Punches,1,1:44
1/19/08,Alessio Sakara,James Lee,win,loss,TKO,Punches,1,1:30
9/17/08,Alessio Sakara,Joe Vedepo,win,loss,KO,Head Kick,1,1:27
8/8/09,Alessio Sakara,Thales Leites,win,loss,Decision,Split,3,5:00
3/21/10,Alessio Sakara,James Irvin,win,loss,TKO,Punch,1,3:01
11/12/11,Alex Caceres,Cole Escovedo,win,loss,Decision,Unanimous,3,5:00
7/11/12,Alex Caceres,Damacio Page,win,loss,Submission,Triangle Choke,2,1:27
11/10/12,Alex Caceres,Motonobu Tezuka,win,loss,Decision,Split,3,5:00
3/3/13,Alex Caceres,Kyung Ho Kang,NC,NC,No Contest - Caceres Failed Drug Test,,3,5:00
9/21/13,Alex Caceres,Roland Delorme,win,loss,Decision,Split,3,5:00
1/25/14,Alex Caceres,Sergio Pettis,win,loss,Submission,Rear-Naked Choke,3,4:39
1/30/16,Alex Caceres,Masio Fullen,win,loss,Decision,Unanimous,3,5:00
5/10/15,Alex Chambers,Kailin Curran,win,loss,Submission,Armbar,3,3:15
12/7/13,Alex Garcia,Ben Wall,win,loss,KO,Punches,1,0:43
3/15/14,Alex Garcia,Sean Spencer,win,loss,Decision,Split,3,5:00
7/11/15,Alex Garcia,Mike Swick,win,loss,Decision,Unanimous,3,5:00
7/27/97,Alex Hunter,Sam Fulton,win,loss,TKO,Punches,1,2:22
10/17/97,Alex Hunter,Harry Moskowitz,win,loss,Decision,,1,10:00
4/9/05,Alex Karalexis,Josh Rafferty,win,loss,TKO,Punches,1,1:40
1/2/16,Alex Morono,Kyle Noke,win,loss,Decision,Split,3,5:00
5/30/15,Alex Oliveira,K.J. Noons,win,loss,Submission,Rear-Naked Choke,1,2:51
6/27/15,Alex Oliveira,Joe Merritt,win,loss,Decision,Unanimous,3,5:00
11/7/15,Alex Oliveira,Piotr Hallmann,win,loss,KO,Punch,3,0:51
4/19/14,Alex White,Estevan Payan,win,loss,KO,Punches,1,1:28
2/6/16,Alex White,Artem Lobov,win,loss,Decision,Unanimous,3,5:00
11/14/09,Alexander Gustafsson,Jared Hamman,win,loss,KO,Punches,1,0:41
10/16/10,Alexander Gustafsson,Cyrille Diabate,win,loss,Submission,Rear-Naked Choke,2,2:41
2/27/11,Alexander Gustafsson,James Te Huna,win,loss,Submission,Rear-Naked Choke,1,4:27
8/6/11,Alexander Gustafsson,Matt Hamill,win,loss,TKO,Punches and Elbows,2,3:41
12/30/11,Alexander Gustafsson,Vladimir Matyushenko,win,loss,TKO,Punches,1,2:13
4/14/12,Alexander Gustafsson,Thiago Silva,win,loss,Decision,Unanimous,3,5:00
12/8/12,Alexander Gustafsson,Mauricio Rua,win,loss,Decision,Unanimous,3,5:00
3/8/14,Alexander Gustafsson,Jimi Manuwa,win,loss,TKO,Knee and Punches,2,1:18
4/4/15,Alexander Yakovlev,Gray Maynard,win,loss,Decision,Unanimous,3,5:00
1/30/16,Alexander Yakovlev,George Sullivan,win,loss,KO,Punch,1,3:59
6/28/14,Alexey Oleinik,Anthony Hamilton,win,loss,Submission,Neck Crank,1,2:18
11/22/14,Alexey Oleinik,Jared Rosholt,win,loss,KO,Punches,1,3:21
6/15/13,Alexis Davis,Rosi Sexton,win,loss,Decision,Unanimous,3,5:00
